text,sentiment,sentiment_num,Date,Price,Price_MA,Sentiment_MA,price_smooth,sentiment_smooth
Gold remains unchanged in light of market volatility,neutral,0,2020-01-01,1496.797228329445,,,,
Investors are worried about gold due to stock market fluctuations,negative,-1,2020-01-02,1502.5546360601606,,,,
Gold market shows little change amid market volatility,neutral,0,2020-01-03,1501.637014835274,,,,
Investors are worried about gold due to global tensions,negative,-1,2020-01-04,1503.6796233497266,,,,
Investors are worried about gold due to central bank policies,negative,-1,2020-01-05,1504.6779904769191,,,,
Selling pressure reduces gold value because of economic uncertainty,negative,-1,2020-01-06,1508.1247013289449,,,,
Gold remains unchanged in light of investor sentiment,neutral,0,2020-01-07,1509.1009576054587,,,,
No major movement in gold prices because of weak currency,neutral,0,2020-01-08,1513.0475185193056,,,,
Gold prices are rising due to geopolitical risks,positive,1,2020-01-09,1509.8796567195773,,,,
Gold prices are rising due to central bank policies,positive,1,2020-01-10,1507.560481745793,1505.7059808970605,-0.2,1505.7059808970605,-0.2
Investors are worried about gold due to weak currency,negative,-1,2020-01-11,1511.3579556167035,1507.1620536257865,-0.3,1507.1620536257865,-0.3
Gold is trading sideways due to interest rate changes,neutral,0,2020-01-12,1515.4826140301925,1508.4548514227895,-0.2,1508.4548514227895,-0.2
Investors are worried about gold due to economic uncertainty,negative,-1,2020-01-13,1518.9103238920425,1510.1821823284663,-0.3,1510.1821823284663,-0.3
Gold prices are rising due to geopolitical risks,positive,1,2020-01-14,1522.6883934643258,1512.0830593399264,-0.1,1512.0830593399264,-0.1
Gold prices are rising due to inflation,positive,1,2020-01-15,1521.035023239931,1513.7187626162274,0.1,1513.7187626162274,0.1
Gold prices remain stable despite strong dollar,neutral,0,2020-01-16,1524.704162413605,1515.3767087246936,0.2,1515.3767087246936,0.2
Gold market weakens as global tensions declines,negative,-1,2020-01-17,1518.0925069192783,1516.2758636560754,0.1,1516.2758636560754,0.1
Strong buying interest pushes gold higher due to geopolitical risks,positive,1,2020-01-18,1517.6200373258257,1516.7331155367274,0.2,1516.7331155367274,0.2
Gold market weakens as market volatility declines,negative,-1,2020-01-19,1509.9442634918553,1516.7395762139554,0.0,1516.7395762139554,0.0
Investors are optimistic about gold because of central bank policies,positive,1,2020-01-20,1511.819256409596,1517.1654536803355,0.0,1517.1654536803355,0.0
Gold market shows little change amid global tensions,neutral,0,2020-01-21,1511.2267135193972,1517.152329470605,0.1,1517.152329470605,0.1
Gold is gaining value as weak currency improves,positive,1,2020-01-22,1511.9281941865836,1516.796887486244,0.2,1516.796887486244,0.2
Selling pressure reduces gold value because of market volatility,negative,-1,2020-01-23,1518.0242859268667,1516.7082836897266,0.2,1516.7082836897266,0.2
No major movement in gold prices because of global tensions,neutral,0,2020-01-24,1514.3151644852023,1515.870960791814,0.1,1515.870960791814,0.1
Gold prices are falling because of inflation,negative,-1,2020-01-25,1514.5599278204252,1515.2234512498635,-0.1,1515.2234512498635,-0.1
Gold prices are falling because of economic uncertainty,negative,-1,2020-01-26,1509.9828262027238,1513.7513176287753,-0.2,1513.7513176287753,-0.2
Gold market shows little change amid stock market fluctuations,neutral,0,2020-01-27,1514.7956121886402,1513.4216281557117,-0.1,1513.4216281557117,-0.1
Gold demand is increasing amid geopolitical risks,positive,1,2020-01-28,1516.373986556418,1513.297023078771,-0.1,1513.297023078771,-0.1
Investors are worried about gold due to economic uncertainty,negative,-1,2020-01-29,1513.3504888724508,1513.6376456168305,-0.1,1513.6376456168305,-0.1
Gold prices are falling because of weak currency,negative,-1,2020-01-30,1512.6056908167604,1513.7162890575469,-0.3,1513.7162890575469,-0.3
Gold demand is increasing amid interest rate changes,positive,1,2020-01-31,1518.1956541026211,1514.413183115869,-0.2,1514.413183115869,-0.2
Gold prices remain stable despite inflation,neutral,0,2020-02-01,1510.175521239344,1514.2379158211452,-0.3,1514.2379158211452,-0.3
No major movement in gold prices because of economic uncertainty,neutral,0,2020-02-02,1510.2076900829736,1513.456256236756,-0.2,1513.456256236756,-0.2
Selling pressure reduces gold value because of global tensions,negative,-1,2020-02-03,1513.615932209779,1513.3863330092136,-0.3,1513.3863330092136,-0.3
Gold is trading sideways due to inflation,neutral,0,2020-02-04,1511.6799784911414,1513.0983380762852,-0.2,1513.0983380762852,-0.2
Gold market shows little change amid investor sentiment,neutral,0,2020-02-05,1520.40324139059,1514.140379595072,-0.1,1514.140379595072,-0.1
Gold demand is decreasing amid weak currency,negative,-1,2020-02-06,1524.4040729105502,1515.1012256672627,-0.2,1515.1012256672627,-0.2
Gold demand is decreasing amid economic uncertainty,negative,-1,2020-02-07,1522.4351361769282,1515.707340629314,-0.4,1515.707340629314,-0.4
Gold demand is increasing amid market volatility,positive,1,2020-02-08,1522.446823036496,1516.6169740457185,-0.2,1516.6169740457185,-0.2
Gold demand is decreasing amid interest rate changes,negative,-1,2020-02-09,1518.3380811193654,1517.1902130759788,-0.2,1517.1902130759788,-0.2
Gold prices are rising due to investor sentiment,positive,1,2020-02-10,1520.7324651626432,1517.4438941819812,-0.2,1517.4438941819812,-0.2
Gold remains unchanged in light of inflation,neutral,0,2020-02-11,1516.6980877215258,1518.0961508301991,-0.2,1518.0961508301991,-0.2
Investors are worried about gold due to inflation,negative,-1,2020-02-12,1509.8795101821486,1518.0633328401168,-0.3,1518.0633328401168,-0.3
Selling pressure reduces gold value because of interest rate changes,negative,-1,2020-02-13,1514.6171252202698,1518.163452141166,-0.3,1518.163452141166,-0.3
Gold remains unchanged in light of interest rate changes,neutral,0,2020-02-14,1521.670613720929,1519.1625156641444,-0.3,1519.1625156641444,-0.3
Gold is gaining value as economic uncertainty improves,positive,1,2020-02-15,1520.6753022461853,1519.189721749704,-0.2,1519.189721749704,-0.2
Gold demand is increasing amid investor sentiment,positive,1,2020-02-16,1520.2257146069278,1518.771885919342,0.0,1518.771885919342,0.0
Gold market shows little change amid market volatility,neutral,0,2020-02-17,1518.209861589858,1518.349358460635,0.1,1518.349358460635,0.1
Gold demand is decreasing amid stock market fluctuations,negative,-1,2020-02-18,1521.0160775788695,1518.2062839148723,-0.1,1518.2062839148723,-0.1
Gold prices are rising due to weak currency,positive,1,2020-02-19,1516.4030204773978,1518.0127778506755,0.1,1518.0127778506755,0.1
No major movement in gold prices because of interest rate changes,neutral,0,2020-02-20,1518.9976967691537,1517.8393010113264,0.0,1517.8393010113264,0.0
Gold demand is decreasing amid interest rate changes,negative,-1,2020-02-21,1521.5080041821648,1518.3202926573906,-0.1,1518.3202926573906,-0.1
Gold prices are falling because of inflation,negative,-1,2020-02-22,1521.9541825815038,1519.527759897326,-0.1,1519.527759897326,-0.1
Gold prices are falling because of market volatility,negative,-1,2020-02-23,1518.3675865522864,1519.9028060305277,-0.1,1519.9028060305277,-0.1
No major movement in gold prices because of economic uncertainty,neutral,0,2020-02-24,1515.2951131605282,1519.2652559744877,-0.1,1519.2652559744877,-0.1
Gold market shows little change amid market volatility,neutral,0,2020-02-25,1517.3061162880776,1518.9283373786768,-0.2,1518.9283373786768,-0.2
Gold prices are falling because of inflation,negative,-1,2020-02-26,1516.3679046392958,1518.5425563819138,-0.4,1518.5425563819138,-0.4
Gold is trading sideways due to investor sentiment,neutral,0,2020-02-27,1512.0039051352446,1517.921960736452,-0.4,1517.921960736452,-0.4
